Title,Date
"Stranger Things: Stranger Things 5: Chapter Two: The Vanishing of Holly Wheeler","12/1/25"
"Stranger Things: Stranger Things 5: Chapter One: The Crawl","11/30/25"
"Aquaman and the Lost Kingdom","11/29/25"
"Stranger Things: Stranger Things 4: Chapter Nine: The Piggyback","11/29/25"
"3 Body Problem: Season 1: The Stars Our Destination","11/27/25"
"3 Body Problem: Season 1: Judgment Day","11/27/25"
"The Great British Baking Show: Holidays: Season 8: The Great Christmas Baking Show","11/26/25"
"Kevin Hart: Acting My Age","11/26/25"
"Stranger Things: Stranger Things 4: Chapter Eight: Papa","11/25/25"
"3 Body Problem: Season 1: Our Lord","11/25/25"
"KPop Demon Hunters","11/24/25"
"Jolly LLB 3","11/24/25"
"3 Body Problem: Season 1: Destroyer of Worlds","11/23/25"
"3 Body Problem: Season 1: Red Coast","11/22/25"
"3 Body Problem: Season 1: Countdown","11/16/25"
"A Merry Little Ex-Mas","11/16/25"
"In Your Dreams","11/16/25"
"Kurukshetra: The Great War of Mahabharata: Season 1: Sanjay","11/14/25"
"Kurukshetra: The Great War of Mahabharata: Season 1: Dronacharya","11/11/25"
"Kurukshetra: The Great War of Mahabharata: Season 1: Vishwaroop","11/11/25"
"Kurukshetra: The Great War of Mahabharata: Season 1: Bhishm","11/11/25"
"The Great British Baking Show: Collection 13: Chocolate Week","11/11/25"
"The Great British Baking Show: Collection 13: Back to School Week","11/10/25"
"Mom: Season 1: Loathing and Tube Socks","11/2/25"
"Mom: Season 1: A Small Nervous Breakdown and a Misplaced Fork","11/2/25"
"Mom: Season 1: A Pee Stick and an Asian Raccoon","11/2/25"
"Mom: Season 1: Pilot","11/2/25"
"Death Becomes Her","10/26/25"
"In Defense of a Married Man","10/26/25"
"Don't Say a Word","10/26/25"
"The Witcher: Season 3: The Cost of Chaos","10/26/25"
"Pantheon: Season 1: The Gods Will Not Be Chained","10/25/25"
"Pantheon: Season 1: Reign of Winter","10/25/25"
"Pantheon: Season 1: Cycles","10/24/25"
"Pantheon: Season 1: Pantheon","10/24/25"
"The Great British Baking Show: Collection 13: Bread Week","10/24/25"
"The Great British Baking Show: Collection 13: Cake Week","10/19/25"
"The Millionaire Matchmaker: Season 7: The Late Bloomer And The Gay Hugh Hefner","10/18/25"
"Culinary Class Wars: Season 1: Episode 1","10/18/25"
"Is It Cake? Halloween: Season 1: Cakes to Die For","10/17/25"
"Mahavatar Narsimha","10/16/25"
"Monster: The Ed Gein Story: Season 1: Mother!","10/13/25"
"Genie, Make a Wish: Season 1: Episode 1","10/12/25"
"The Ba***ds of Bollywood: Season 1: Meet The Ba***ds","10/12/25"
"The Woman in Cabin 10","10/11/25"
"Wayward: Limited Series: Tall Pines","10/7/25"
"The Wrong Paris","10/3/25"
"Tomb Raider: The Legend of Lara Croft: Season 1: A Set of Lies Agreed Upon","9/29/25"
"Tomb Raider: The Legend of Lara Croft: Season 1: A Single Step","9/29/25"
"Ne Zha","9/28/25"
"Next Gen Chef: Season 1: Core Creativity","9/27/25"
"Next Gen Chef: Season 1: Global Food Test","9/27/25"
"Next Gen Chef: Season 1: The Entrance Exam","9/27/25"
"David Attenborough: A Life on Our Planet","9/27/25"
"Ancient Aliens: Season 11: Pyramids of Antarctica","9/21/25"
"The Great British Baking Show: Collection 13: Biscuit Week","9/21/25"
"Haunted Hotel: Season 1: Rollyfluffs","9/20/25"
"Haunted Hotel: Season 1: How to Train Your Demon","9/20/25"
"Inspector Zende","9/20/25"
"Haunted Hotel: Season 1: Randy Slasher","9/20/25"
"Haunted Hotel: Season 1: Unfinished Business","9/20/25"
"Haunted Hotel: Season 1: Welcome to the Undervale","9/20/25"
"Ancient Aliens: Season 11: The Mysterious Nine","9/16/25"
"Wednesday: Season 2: This Means Woe","9/7/25"
"Wednesday: Season 2: Woe Me the Money","9/7/25"
"Unknown Number: The High School Catfish","9/7/25"
"Wednesday: Season 2: Woe Thyself","9/6/25"
"Wednesday: Season 2: Hyde and Woe Seek","9/6/25"
"DEATH NOTE: Death Note: Rebirth","9/3/25"
"The Thursday Murder Club","8/31/25"
"Saare Jahan Se Accha: The Silent Guardians: Season 1: Episode 1","8/30/25"
"The Client","8/28/25"
"Maa","8/23/25"
"Dept. Q: Season 1: Episode 9","8/22/25"
"Dept. Q: Season 1: Episode 8","8/22/25"
"Dept. Q: Season 1: Episode 7","8/22/25"
"Dept. Q: Season 1: Episode 6","8/22/25"
"Dept. Q: Season 1: Episode 5","8/21/25"
"Dept. Q: Season 1: Episode 4","8/21/25"
"Wednesday: Season 2: If These Woes Could Talk","8/17/25"
"Wednesday: Season 2: Call of the Woe","8/17/25"
"Wednesday: Season 2: The Devil You Woe","8/16/25"
"Wednesday: Season 2: Here We Woe Again","8/16/25"
"Wednesday: Season 1: A Murder of Woes","8/16/25"
"Wednesday: Season 1: If You Don't Woe Me by Now","8/16/25"
"The Sandman: Season 2: Season of Mists","7/13/25"
"The Sandman: Season 1: Lost Hearts","7/13/25"
"Dept. Q: Season 1: Episode 3","7/8/25"
"Dept. Q: Season 1: Episode 2","7/8/25"
"The Witcher: Season 2: Redanian Intelligence","6/13/25"
"The Witcher: Season 2: What Is Lost","6/13/25"
"The Witcher: Season 2: Kaer Morhen","6/8/25"
"The Witcher: Season 2: A Grain of Truth","6/8/25"
"The Witcher: Season 1: Much More","6/8/25"
"Dhoom Dhaam","6/4/25"
"IT'S WHAT'S INSIDE","6/1/25"
"Exterritorial","6/1/25"
"Khufiya","5/11/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 13-04-2025 Hotel Blood Stone","5/2/25"
"Black Mirror: Season 7: USS Callister: Into Infinity","5/2/25"
"Jewel Thief - The Heist Begins","5/2/25"
"Black Mirror: Season 7: Eulogy","4/27/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 12-04-2025 Aakhri Call","4/26/25"
"Black Mirror: Season 7: Plaything","4/26/25"
"Black Mirror: Season 7: Hotel Reverie","4/26/25"
"Black Mirror: Season 7: Common People","4/21/25"
"The Electric State","4/13/25"
"Adolescence: Limited Series: Episode 2","3/15/25"
"Adolescence: Limited Series: Episode 1","3/15/25"
"Love Is Blind: Season 8: I Have a Husband","3/15/25"
"That Christmas","12/31/24"
"The Six Triple Eight","12/31/24"
"Investigation Alien: Season 1: The Brazil Connection","12/30/24"
"Dungeons & Dragons: Honor Among Thieves","12/30/24"
"A Christmas Prince","12/9/24"
"A Nonsense Christmas with Sabrina Carpenter","12/9/24"
"Our Little Secret","12/1/24"
"Not Another Teen Movie","11/23/24"
"Return of the King: The Fall and Rise of Elvis Presley","11/14/24"
"Investigation Alien: Season 1: Why Are They Here?","11/14/24"
"The Manhattan Alien Abduction: Season 1: Part 1","10/31/24"
"Jailbreak: Love on the Run","10/30/24"
"Woman of the Hour","10/28/24"
"The Garfield Movie","10/28/24"
"Chilling Adventures of Sabrina: Part 1: Chapter Two: The Dark Baptism","10/27/24"
"Chilling Adventures of Sabrina: Part 1: Chapter Four: Witch Academy","10/27/24"
"Secrets of the Neanderthals","10/27/24"
"Goosebumps: Specials: The Haunted Mask - Part 2","10/26/24"
"Goosebumps: Specials: The Haunted Mask - Part 1","10/26/24"
"Goosebumps: Specials: A Night in Terror Tower - Part 1","10/26/24"
"Halloween","10/25/24"
"This Is the Zodiac Speaking: Season 1: Are You the Zodiac?","10/24/24"
"This Is the Zodiac Speaking: Season 1: We Called Him Mr. Allen","10/24/24"
"Escape at Dannemora: Season 1: Part 1","10/24/24"
"American Murder: Laci Peterson: Season 1: What Do You Mean, Missing?","10/22/24"
"Unsolved Mysteries: Volume 5: The Roswell UFO Incident","10/21/24"
"Unsolved Mysteries: Volume 5: Park Bench Murders","10/21/24"
"Files of the Unexplained: Season 1: File: Pascagoula Alien Abduction","10/21/24"
"The Menendez Brothers","10/17/24"
"Girl Haunts Boy","10/16/24"
"Emily in Paris: Season 4: Break Point","10/16/24"
"Love Is Blind: Season 7: Is It Too Late?","10/13/24"
"Love Is Blind: Season 7: Perfect Husband, but…","10/13/24"
"Nobody Wants This: Season 1: Pilot","10/13/24"
"Heartstopper: Season 3: Apart","10/11/24"
"Heartstopper: Season 3: Together","10/10/24"
"Heartstopper: Season 3: Body","10/9/24"
"Love Is Blind: Season 7: No More Situationships","10/9/24"
"Heartstopper: Season 3: Home","10/8/24"
"Heartstopper: Season 3: Love","10/8/24"
"Stranger Things: Chapter One: The Vanishing of Will Byers","10/8/24"
"Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club","10/8/24"
"Heartstopper: Season 3: Winter","10/7/24"
"Heartstopper: Season 3: Journey","10/7/24"
"The Circle: Season 7: Incoming Call","10/6/24"
"The Circle: Season 7: It's Giving Season","10/6/24"
"The Circle: Season 7: The Grand Finale","10/6/24"
"The Circle: Season 1: Hello, Circle","10/6/24"
"Heartstopper: Season 3: Talk","10/6/24"
"Damsel","10/2/24"
"The Circle: Season 7: A Circle Trilogy","9/29/24"
"Into the Fire: The Lost Daughter: Season 1: Part 1","9/28/24"
"Selling Sunset: Season 8: The Girls Are Back In Town","9/28/24"
"The Circle: Season 7: The Disruption Begins","9/28/24"
"The Circle: Season 7: Help! I'm Drowning","9/26/24"
"The Circle: Season 6: New City Who Dis?","9/24/24"
"Uglies","9/24/24"
"The Circle: Season 7: Goating Around","9/24/24"
"Pop Star Academy: KATSEYE: Season 1: Big Mistake","9/24/24"
"The Circle: Season 7: Dawn of the Circle Dead","9/23/24"
"Pop Star Academy: KATSEYE: Season 1: Level Up","9/23/24"
"Pop Star Academy: KATSEYE: Season 1: Don’t Get Too Comfortable","9/22/24"
"Monsters: The Lyle and Erik Menendez Story: Kill or Be Killed","9/22/24"
"Monsters: The Lyle and Erik Menendez Story: Brother, Can You Spare a Dime?","9/21/24"
"Monsters: The Lyle and Erik Menendez Story: Spree","9/21/24"
"Monsters: The Lyle and Erik Menendez Story: Blame It on the Rain","9/20/24"
"The Circle: Season 7: Reading Between The Lines","9/20/24"
"The Circle: Season 7: Circle Wedding Crashers","9/19/24"
"Selling The OC: Season 3: Unfinished Business","9/17/24"
"Selling The OC: Season 3: Door's Always Open","9/17/24"
"Selling The OC: Season 3: Reactions Have Consequences","9/17/24"
"Selling The OC: Season 3: High Stakes and Heartache","9/17/24"
"Captain Underpants: The First Epic Movie","9/16/24"
"Selling The OC: Season 3: Offer NOT Accepted","9/16/24"
"Selling The OC: Season 3: A Bond-Fire","9/15/24"
"The Circle: Season 7: Press to Impress","9/15/24"
"The Circle: Season 7: Battle of the Influencers","9/15/24"
"The Circle: Season 7: It's MY Party…","9/15/24"
"Dr. Seuss' The Cat in the Hat","9/9/24"
"Blue Ribbon Baking Championship: Season 1: Best Fruit Forward","9/8/24"
"Blue Ribbon Baking Championship: Season 1: Welcome to the Fair","9/8/24"
"KAOS: Episode 3","9/7/24"
"KAOS: Episode 2","9/7/24"
"KAOS: Episode 1","9/7/24"
"A Discovery of Witches: Season 1: Episode 3","8/23/24"
"A Discovery of Witches: Season 1: Episode 2","8/22/24"
"A Discovery of Witches: Season 1: Episode 1","8/22/24"
"Leave the World Behind","8/18/24"
"Stranger Things: Stranger Things 2: Chapter Three: The Pollywog","8/10/24"
"The Boyfriend: Season 1: Accepting You No Matter What","8/9/24"
"The Boyfriend: Season 1: That Summer, I Fell in Love With Him","8/9/24"
"Pan","7/11/24"
"Big Fat Liar","6/18/24"
"Welcome to Marwen","6/17/24"
"The Lego Movie","6/15/24"
"Bridgerton: Season 3: Romancing Mister Bridgerton","6/14/24"
"Bridgerton: Season 3: Tick Tock","6/13/24"
"The Nutty Professor","6/13/24"
"Hitler and the Nazis: Evil on Trial: Season 1: Origin of Evil","6/8/24"
"Liar Liar","5/25/24"
"Shrek","5/25/24"
"Jumanji","5/25/24"
"The Circle: Season 6: Naughty or Nice","5/22/24"
"The Circle: Season 6: Who Ordered the Sacrificial Lamb?","5/22/24"
"Bridgerton: Season 3: Old Friends","5/21/24"
"Bridgerton: Season 3: Forces of Nature","5/18/24"
"Bridgerton: Season 3: How Bright the Moon","5/17/24"
"Bridgerton: Season 3: Out of the Shadows","5/17/24"
"Bridgerton: Season 2: Victory","5/17/24"
"Unfrosted","5/14/24"
"Shaitaan","5/8/24"
"The Circle: Season 6: Ride or Die","5/8/24"
"Selling The OC: Season 3: Big Dock Energy","5/8/24"
"The Circle: Season 6: That DM Slide","5/6/24"
"Tales of the City: Limited Series: Three of Cups","5/3/24"
"Tales of the City: Limited Series: Rainbow Warriors","5/3/24"
"Love, Death & Robots: Volume 1: ICE AGE","5/3/24"
"Love, Death & Robots: Volume 3: Bad Travelling","5/3/24"
"Everything Everywhere All at Once","5/2/24"
"The Circle: Season 6: Portrait Pitfalls","5/1/24"
"Smurfs: The Lost Village","4/29/24"
"How to Train Your Dragon 2","4/29/24"
"Baby Reindeer: Limited Series: Episode 7","4/29/24"
"Baby Reindeer: Limited Series: Episode 6","4/29/24"
"Baby Reindeer: Limited Series: Episode 5","4/28/24"
"Baby Reindeer: Limited Series: Episode 4","4/28/24"
"Baby Reindeer: Limited Series: Episode 3","4/28/24"
"Baby Reindeer: Limited Series: Episode 2","4/28/24"
"Baby Reindeer: Limited Series: Episode 1","4/28/24"
"Our Living World: Limited Series: Nature's Amazing Network","4/25/24"
"Killing Eve: Season 1: Nice Face","4/24/24"
"The Circle: Season 6: Spot the Bot","4/23/24"
"The Circle: Season 6: I'm Only Human… Or Am I?","4/23/24"
"The Circle: Season 6: Bro Code","4/22/24"
"Files of the Unexplained: Season 1: File: Mysteries of Mt. Shasta","4/22/24"
"Bridgerton: Season 2: A Bee in Your Bonnet","4/21/24"
"Bridgerton: Season 2: Off to the Races","4/21/24"
"Bridgerton: Season 2: Capital R Rake","4/21/24"
"Rebel Moon — Part Two: The Scargiver","4/21/24"
"The Big Nailed It Baking Challenge: Season 1: Bakers Blast Off","4/17/24"
"The Matrix","4/15/24"
"Fun with Dick & Jane","4/15/24"
"We Have a Ghost","4/15/24"
"Dream Home Makeover: Season 4: From Living Room to Library","4/14/24"
"Dream Home Makeover: Season 4: Kitchen Expansion","4/14/24"
"Instant Dream Home: Season 1: Four Years In One Day","4/13/24"
"Hotel Transylvania","4/11/24"
"Amadeus","4/11/24"
"Is It Cake?: Season 3: Cake Whodunit","4/8/24"
"The Hunger Games: Catching Fire","4/8/24"
"Crime Scene Berlin: Nightlife Killer: Season 1: A Mysterious Death","4/8/24"
"Glass","4/8/24"
"How To Build a Sex Room: Season 1: Swank & Sexy Honeymoon Suite","4/7/24"
"How To Build a Sex Room: Season 1: What Goes on Behind Closed Doors","4/7/24"
"Kill Bill: Vol. 1","4/6/24"
"Ender's Game","4/3/24"
"The Crown: Season 6: Two Photographs","4/1/24"
"The Crown: Season 6: Persona Non Grata","4/1/24"
"The Worst Witch: Season 4: A Witch in Time","3/27/24"
"The Worst Witch: Season 4: Mildred the Detective","3/27/24"
"A Series of Unfortunate Events: Season 1: The Bad Beginning: Part Two","3/27/24"
"A Series of Unfortunate Events: Season 1: The Bad Beginning: Part One","3/27/24"
"The Worst Witch: Season 4: Enid's Last Race","3/26/24"
"Avatar The Last Airbender: Season 1: Masks","3/26/24"
"The Worst Witch: Season 4: The Crystal Lake","3/25/24"
"The Powerpuff Girls: Season 1: Monkey See, Doggie Do / Mommy Fearest","3/25/24"
"A Series of Unfortunate Events: Season 1: The Miserable Mill: Part Two","3/25/24"
"A Series of Unfortunate Events: Season 2: The Austere Academy: Part 1","3/23/24"
"A Series of Unfortunate Events: Season 1: The Miserable Mill: Part One","3/22/24"
"Pokémon Concierge: Season 1: I’m Haru, the New Concierge!","3/22/24"
"Avatar The Last Airbender: Season 1: Spirited Away","3/22/24"
"The Other Shore: The Diana Nyad Story","3/21/24"
"The Worst Witch: Season 4: Maud's Magical Make-over","3/19/24"
"The Worst Witch: Season 4: The Forbidden Tree","3/19/24"
"The Super Mario Bros. Movie","3/19/24"
"The Worst Witch: Season 4: Enid Nightshade, Superstar","3/18/24"
"My Little Pony: A New Generation","3/18/24"
"My Little Pony: The Movie","3/18/24"
"Ruby Gillman, Teenage Kraken","3/18/24"
"Irish Wish","3/17/24"
"The Worst Witch: Season 4: Happy Birthday, Indigo Moon","3/16/24"
"Turning Point: The Bomb and the Cold War: Season 1: The Sun Came Up Tremendous","3/15/24"
"The Worst Witch: Season 3: The Owl and the Pussycat","3/15/24"
"Girls5eva: Season 1: Pilot","3/15/24"
"","3/14/24"
"Project Runway: Season 17: High Fashion to High Street","3/12/24"
"Project Runway: Season 17: Survive in Style","3/11/24"
"The Program: Cons, Cults and Kidnapping: Limited Series: Mind Control","3/11/24"
"Animal","3/10/24"
"The Program: Cons, Cults and Kidnapping: Limited Series: Where the F**k Am I?","3/9/24"
"Avatar: The Last Airbender: Book 1: The Boy in the Iceberg","3/9/24"
"Project Runway: Season 17: All the Rage","3/8/24"
"Project Runway: Season 17: The Future Is Here","3/7/24"
"Avatar The Last Airbender: Season 1: Into the Dark","3/6/24"
"The Indrani Mukerjea Story: Buried Truth: Season 1: Episode 1","3/2/24"
"Avatar The Last Airbender: Season 1: Omashu","2/29/24"
"Ratched: Season 1: Pilot","2/29/24"
"Curry & Cyanide - The Jolly Joseph Case","2/26/24"
"Triviaverse","2/25/24"
"Love Is Blind: Season 6: She Lied to Me","2/25/24"
"The Circle: Season 5: Hi Old Friend","2/25/24"
"Avatar The Last Airbender: Season 1: Warriors","2/24/24"
"Raat Akeli Hai","2/24/24"
"Sajini Shinde Ka Viral Video","2/24/24"
"Avatar The Last Airbender: Season 1: Aang","2/23/24"
"This Is 40","2/23/24"
"Stranger Things: Stranger Things 2: Chapter Two: Trick or Treat, Freak","2/21/24"
"The Circle: Season 5: Who to Save?","2/21/24"
"Unicorn Academy: Chapter 1: Unicorn Academy","2/21/24"
"Love Is Blind: Season 6: The Hardest Decision of My Life","2/20/24"
"Love Is Blind: Season 6: Operation Get My Girl Back","2/20/24"
"Love Is Blind: Season 6: The Hunger Games of Love","2/19/24"
"The Good Place: Season 2: The Burrito","2/18/24"
"A Series of Unfortunate Events: Season 1: The Wide Window: Part One","2/18/24"
"Stranger Things: Stranger Things 2: Chapter One: MADMAX","2/17/24"
"Lover, Stalker, Killer","2/17/24"
"Raees","2/17/24"
"The Circle: Season 5: I Can’t Believe I Just Sent That…","2/16/24"
"The Circle: Season 5: An Unlikely Team Emerges","2/16/24"
"You Are What You Eat: A Twin Experiment: Limited Series: Episode 1","2/16/24"
"The Circle: Season 5: Single and Ready to Mingle","2/15/24"
"The Circle: Season 5: A Desperate Alliance","2/15/24"
"Love Is Blind: Season 6: Higher Love","2/15/24"
"Horrible Bosses 2","2/15/24"
"Encounters: Season 1: The Broad Haven Triangle","2/12/24"
"Encounters: Season 1: Believers","2/12/24"
"Encounters: Season 1: Messengers","2/12/24"
"Om Shanti Om","2/11/24"
"A Series of Unfortunate Events: Season 1: The Reptile Room: Part One","2/10/24"
"Roald Dahl's Matilda The Musical","2/10/24"
"Stranger Things: Chapter Eight: The Upside Down","2/8/24"
"It","2/8/24"
"Raël: The Alien Prophet: Limited Series: Genesis","2/8/24"
"Floor Is Lava: Season 3: Putting the Lava in Check","2/8/24"
"Floor Is Lava: Season 3: Best Frenemies","2/8/24"
"Stranger Things: Chapter Seven: The Bathtub","2/7/24"
"Stranger Things: Chapter Six: The Monster","2/6/24"
"Black Mirror: Season 4: USS Callister","2/6/24"
"Stranger Things: Chapter Five: The Flea and the Acrobat","2/5/24"
"X","2/5/24"
"Love on the Spectrum: Season 2: Episode 3","2/5/24"
"Love on the Spectrum: Season 2: Episode 1","2/5/24"
"Black Mirror: Season 3: Playtest","2/5/24"
"Black Mirror: Season 4: Black Museum","2/5/24"
"The Great Gatsby","2/4/24"
"Stranger Things: Chapter Four: The Body","2/3/24"
"Black Mirror: Season 5: Striking Vipers","2/2/24"
"Pressure Cooker: Season 1: Yelp Doesn't Count","2/2/24"
"DAHMER: Monster: The Jeffrey Dahmer Story: Silenced","2/1/24"
"DAHMER: Monster: The Jeffrey Dahmer Story: Blood On Their Hands","2/1/24"
"Three of Us","2/1/24"
"Stranger Things: Chapter Three: Holly, Jolly","2/1/24"
"Stranger Things: Chapter Two: The Weirdo on Maple Street","1/31/24"
"Jurassic Park","1/30/24"
"Conversations with a Killer: The Jeffrey Dahmer Tapes: Season 1: Sympathy for the Devil","1/30/24"
"Fear Street Part 2: 1978","1/30/24"
"Conversations with a Killer: The John Wayne Gacy Tapes: Season 1: Sane Enough","1/29/24"
"Masters of the Universe: Revolution: Season 1: Even for Kings","1/28/24"
"Conversations with a Killer: The John Wayne Gacy Tapes: Season 1: A Nicely Kept Secret","1/28/24"
"Snowpiercer","1/27/24"
"Queer Eye: Season 8: Mr. Fantastic!","1/27/24"
"Stranger Things: Stranger Things 4: Chapter Seven: The Massacre at Hawkins Lab","1/25/24"
"Stranger Things: Stranger Things 4: Chapter Six: The Dive","1/25/24"
"Stranger Things: Stranger Things 4: Chapter Five: The Nina Project","1/22/24"
"Conversations with a Killer: The John Wayne Gacy Tapes: Season 1: The Life of the Party","1/22/24"
"Night Stalker: The Hunt for a Serial Killer: Limited Series: Devil in the City of Angels","1/22/24"
"Stranger Things: Stranger Things 4: Chapter Four: Dear Billy","1/21/24"
"Stranger Things: Stranger Things 4: Chapter Three: The Monster and the Superhero","1/21/24"
"American Nightmare: Season 1: Part Three: The Others","1/21/24"
"American Nightmare: Season 1: Part Two: Gone Girl","1/21/24"
"American Nightmare: Season 1: Part One: The Boyfriend","1/20/24"
"The Great British Baking Show: The Professionals: Season 7: Heat A: Towering Structures","1/20/24"
"The Trust: Season 1: Why Is Everyone Being so Frickin’ Emotional?","1/20/24"
"The Trust: Season 1: House of Lies","1/20/24"
"Glow Up: Season 5: Global Campaign: MAC Cosmetics","1/19/24"
"Glow Up: Season 5: TV Make-Up: Bridgerton","1/19/24"
"Stranger Things: Stranger Things 4: Chapter Two: Vecna's Curse","1/18/24"
"Trolls","1/18/24"
"Magic for Humans: Season 3: Know Fear","1/16/24"
"Magic for Humans: Season 3: The End","1/16/24"
"Magic for Humans: Season 3: Self Care","1/16/24"
"Magic for Humans: Season 3: Home","1/16/24"
"Cunk On Earth: Season 1: In the Beginnings","1/16/24"
"The Brothers Sun: Season 1: Favor for a Favor","1/15/24"
"The Brothers Sun: Season 1: Pilot","1/15/24"
"You Are What You Eat: A Twin Experiment: Limited Series: Episode 2","1/14/24"
"Detective Forst: Season 1: Episode 1","1/14/24"
"Tyler Perry's The Single Moms Club","1/14/24"
"Berlin: Limited Series: The Energy of Love","1/11/24"
"Mamma Mia! Here We Go Again","1/10/24"
"Bruce Almighty","1/9/24"
"Jurassic Park III","1/7/24"
"Young Sheldon: Season 1: A Therapist, a Comic Book, and a Breakfast Sausage","1/6/24"
"Young Sheldon: Season 1: Poker, Faith, and Eggs","1/6/24"
"Five Star Chef: Season 1: Episode 6","1/6/24"
"The Millionaire Matchmaker: Season 4: Brooklyn vs. Botox","1/6/24"
"The Millionaire Matchmaker: Season 4: Jersey in the House","1/6/24"
"The Millionaire Matchmaker: Season 4: Welcome to the Big Apple","1/6/24"
"The Flintstones","1/5/24"
"Pokémon Concierge: Season 1: What’s on Your Mind, Psyduck?","1/5/24"
"Keep Sweet: Pray and Obey: Limited Series: Part Two","1/4/24"
"Waco: American Apocalypse: Limited Series: Children of God","1/4/24"
"Keep Sweet: Pray and Obey: Limited Series: Part One","1/4/24"
"DAHMER: Monster: The Jeffrey Dahmer Story: Please Don't Go","1/3/24"
"Waco: American Apocalypse: Limited Series: In the Beginning…","1/3/24"
"DAHMER: Monster: The Jeffrey Dahmer Story: Episode One","1/3/24"
"Christmas as Usual","12/27/23"
"Jaws","12/23/23"
"Project Runway: Season 17: First Impressions","12/20/23"
"Pressure Cooker: Season 1: Check Your Ego At The Door","12/19/23"
"Chicken Run: Dawn of the Nugget","12/18/23"
"Bodies: Limited Series: 'You're Dead Already'","12/17/23"
"The Great British Baking Show: Collection 11: Pastry Week","12/17/23"
"The Great British Baking Show: Collection 11: Chocolate Week","12/17/23"
"Five Star Chef: Season 1: Episode 5","12/17/23"
"​Carol & The End of The World: Limited Series: Pilot","12/16/23"
"Five Star Chef: Season 1: Episode 4","12/15/23"
"Five Star Chef: Season 1: Episode 3","12/15/23"
"Young Sheldon: Season 1: Rockets, Communists, and the Dewey Decimal System","12/15/23"
"Queen Cleopatra: Limited Series: Rivals","12/15/23"
"Black Mirror: Season 6: Mazey Day","12/15/23"
"Black Mirror: Season 6: Beyond the Sea","12/15/23"
"Making Squid Game: The Challenge","12/14/23"
"Guillermo del Toro's Cabinet of Curiosities: Season 1: The Viewing","12/14/23"
"The Great British Baking Show: Holidays: Season 6: The Great Christmas Baking Show","12/11/23"
"Lucy","12/11/23"
"Five Star Chef: Season 1: Episode 2","12/11/23"
"The Great British Baking Show: Collection 11: Bread Week","12/10/23"
"Suicide Squad","12/10/23"
"Five Star Chef: Season 1: Episode 1","12/10/23"
"Squid Game: Season 1: Front Man","12/8/23"
"Squid Game: Season 1: VIPS","12/8/23"
